VAR_PDAD,VAR_CAMPO,r,N
MOR_pct_feminino,PCT_DEPDIST_liberal_conservador,-0.0907,33
MOR_pct_ocupado,PCT_SEN_moderado,0.0876,33
EL_pct_feminino,PCT_SEN_moderado,-0.0875,33
EL_total_aptos,PCT_SEN_progressista,0.0829,33
MOR_pct_conta_propria,PCT_DEPDIST_liberal_conservador,-0.0826,33
MOR_pct_sem_fund,PCT_DEPFED_liberal_conservador,0.0822,33
EL_pct_feminino,PCT_DEPDIST_moderado,-0.0786,33
EL_total_aptos,PCT_DEPFED_liberal_conservador,-0.0757,33
EL_total_aptos,PCT_DEPDIST_progressista,0.0753,33
MOR_renda_ind_media,PCT_DEPFED_progressista,0.0711,15
MOR_pct_conta_propria,PCT_DEPDIST_progressista,-0.0685,33
MOR_pct_privado,PCT_DEPDIST_liberal_conservador,0.0675,33
MOR_renda_ind_media,PCT_SEN_liberal_conservador,-0.0623,15
EL_pct_jovem_1624_x,PCT_DEPDIST_progressista,0.0614,33
DOM_pct_classe_DE,PCT_DEPFED_liberal_conservador,0.0589,33
MOR_pct_migrante,PCT_DEPDIST_progressista,0.0574,33
MOR_pct_nativo_df,PCT_DEPDIST_progressista,-0.0574,33
MOR_pct_feminino,PCT_SEN_liberal_conservador,0.056,33
MOR_pct_feminino,PCT_DEPFED_progressista,-0.05,33
MOR_renda_ind_media,PCT_SEN_progressista,0.0488,15
MOR_renda_ind_media,PCT_DEPDIST_liberal_conservador,0.045,15
MOR_pct_privado,PCT_DEPFED_liberal_conservador,0.0424,33
EL_total_aptos,PCT_DEPDIST_liberal_conservador,-0.0381,33
MOR_pct_feminino,PCT_DEPFED_moderado,-0.038,33
MOR_pct_idoso_pop,PCT_DEPDIST_progressista,0.0374,33
MOR_pct_beneficio_social,PCT_DEPFED_liberal_conservador,0.0331,33
MOR_pct_feminino,PCT_SEN_progressista,-0.0308,33
MOR_pct_feminino,PCT_SEN_moderado,0.0267,33
MOR_pct_conta_propria,PCT_DEPFED_liberal_conservador,-0.0262,33
MOR_pct_feminino,PCT_GOV_liberal_conservador,-0.0245,33
MOR_pct_privado,PCT_DEPDIST_progressista,-0.0218,33
MOR_pct_feminino,PCT_DEPDIST_moderado,-0.0164,33
EL_pct_idoso_60+,PCT_DEPDIST_progressista,-0.0164,33
MOR_pct_desocupado,PCT_DEPDIST_progressista,-0.0152,33
MOR_pct_privado,PCT_DEPDIST_moderado,-0.0102,33
EL_total_aptos,PCT_SEN_moderado,0.01,33
MOR_renda_ind_media,PCT_DEPFED_moderado,-0.0081,15
MOR_pct_migrante,PCT_DEPFED_liberal_conservador,0.0079,33
MOR_pct_nativo_df,PCT_DEPFED_liberal_conservador,-0.0079,33
DOM_pct_classe_C,PCT_DEPDIST_liberal_conservador,0.0043,33
